"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"The high THC content in that marijuana you smoking lowers your testosterone.- @wesleymuhammad #NOISundays",FALSE,2,NA,2017-05-07 16:38:32,FALSE,NA,"861258959449149440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SisterShareefah",7,FALSE,FALSE,NA,NA,"Universal","en","http://pbs.twimg.com/profile_images/861244729115201538/_GAQHjyh_normal.jpg"
"That marijuana, that weed with its increased THC, that liquor—that's the one-two-punch to your masculinity! ~@wesleymuhammad #NOISundays",FALSE,5,NA,2017-05-07 16:37:59,FALSE,NA,"861258824325505025",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NextGenFOI",14,FALSE,FALSE,NA,NA,"Austin, TX","en","http://pbs.twimg.com/profile_images/853715923982856192/NcjY67zn_normal.jpg"
"Mailman Arrested For Allegedly Kicking In Door Of East Village Medical Marijuana Dispensary, Fighting Cops https://t.co/kQV36D5vmY",FALSE,12,NA,2017-05-07 16:37:57,FALSE,NA,"861258814506627072",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Gothamist",10,FALSE,FALSE,NA,NA,"New York, NY","en","http://pbs.twimg.com/profile_images/482838063668682753/ulq-goPG_normal.png"
"i wake up, feel anxious, amd whatever feels more like 'anxiety', pressure, i hear voices
...this is too early for me to need marijuana",FALSE,0,NA,2017-05-07 16:37:39,FALSE,NA,"861258740825112576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Christo81432906",0,FALSE,FALSE,NA,NA,"Ventura, CA","en","http://pbs.twimg.com/profile_images/859635521991188483/4wyT2Slc_normal.jpg"
"Bills on guns, medical marijuana among those dead for year https://t.co/GHfwf5fAxy",FALSE,0,NA,2017-05-07 16:37:36,FALSE,NA,"861258727223042048",NA,"<a href=""http://daggamagazine.com"" rel=""nofollow"">Dagga Magazine</a>","DaggaMagazine",0,FALSE,FALSE,NA,NA,"South Africa","en","http://pbs.twimg.com/profile_images/522826429919006721/LDAu1Vf6_normal.jpeg"
"Marijuana Use During Pregnancy May Affect Child’s Vision https://t.co/xutHmWSYF5",FALSE,0,NA,2017-05-07 16:37:36,FALSE,NA,"861258725939597312",NA,"<a href=""http://daggamagazine.com"" rel=""nofollow"">Dagga Magazine</a>","DaggaMagazine",0,FALSE,FALSE,NA,NA,"South Africa","en","http://pbs.twimg.com/profile_images/522826429919006721/LDAu1Vf6_normal.jpeg"
"Marijuana isn’t attracting homeless people to Denver or Colorado, according to “best data we have” https://t.co/p3r8Dvu7xz",FALSE,0,NA,2017-05-07 16:37:30,FALSE,NA,"861258703118282752",NA,"<a href=""http://daggamagazine.com"" rel=""nofollow"">Dagga Magazine</a>","DaggaMagazine",0,FALSE,FALSE,NA,NA,"South Africa","en","http://pbs.twimg.com/profile_images/522826429919006721/LDAu1Vf6_normal.jpeg"
"Mailman Arrested For Allegedly Kicking In Door Of East Village Medical Marijuana Dispensary, Fighting Cops https://t.co/UCfT5FFdZR",FALSE,1,NA,2017-05-07 16:37:20,FALSE,NA,"861258661607428096",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","lowdownny",0,FALSE,FALSE,NA,NA,"Lower East Side NYC","en","http://pbs.twimg.com/profile_images/378800000372718210/9bfdd98d2975b2af4af82d17ed62ac86_normal.jpeg"
"Marijuana, weed, kush, loud, chronic feminizes the black male #NOISundays #WesleyMuhammad",FALSE,2,NA,2017-05-07 16:36:59,FALSE,NA,"861258570612035584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CyntGi",4,FALSE,FALSE,NA,NA,"Chicago, Illinois","en","http://pbs.twimg.com/profile_images/741203873810001921/Z-FTP2iY_normal.jpg"
"Kush (Loud), that marijuana, it feminizes you!- @wesleymuhammad #NOiSundays",FALSE,1,NA,2017-05-07 16:36:51,FALSE,NA,"861258537720324097",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SisterShareefah",2,FALSE,FALSE,NA,NA,"Universal","en","http://pbs.twimg.com/profile_images/861244729115201538/_GAQHjyh_normal.jpg"
"Rolling marijuana, that's a cheap vacation",FALSE,1,NA,2017-05-07 16:36:49,FALSE,NA,"861258531491766273",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","__cardenass",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/858891138928955393/0ocfxcm5_normal.jpg"
"Anyone else notice that Republicans love ""states' rights"" and ""choice"" when it benefits corporations, but not people? #healthcare #marijuana",FALSE,7,NA,2017-05-07 16:36:00,FALSE,NA,"861258324422967297",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuxcedoCat",0,FALSE,FALSE,NA,NA,"Golden State of mind","en","http://pbs.twimg.com/profile_images/819035738289225729/U9EjEgO5_normal.jpg"
"@SANDRAYYCNW He must be against legalizing marijuana; no big deal.",FALSE,0,"SANDRAYYCNW",2017-05-07 16:35:53,FALSE,"861040064536625152","861258294324625410","234798573","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TrumpIsMyPrez",0,FALSE,FALSE,NA,NA,"Red Deer, Alberta","en","http://pbs.twimg.com/profile_images/796047020049842176/u8FseOpN_normal.jpg"
"We can now see why marijuana has been so ferociously, ridiculously illegal for a hundred years.  (cont) https://t.co/XYb9wXipGU",FALSE,0,NA,2017-05-07 16:35:43,FALSE,NA,"861258254277525508",NA,"<a href=""http://www.handmark.com"" rel=""nofollow"">TweetCaster for iOS</a>","_AmericanJoe_",0,FALSE,FALSE,NA,NA,"Northern Nevada","en","http://pbs.twimg.com/profile_images/378800000846608056/37c60a1edbe76d650d215147526e8591_normal.jpeg"
"@cselley We're these issues brought up when Washington State or Colorado legalized the sale of marijuana?",FALSE,1,"cselley",2017-05-07 16:35:24,FALSE,"861257011308228608","861258171947548673","86384980","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","handsomey",0,FALSE,FALSE,NA,NA,"Canada","en","http://pbs.twimg.com/profile_images/762668221455486978/cBKshBZ-_normal.jpg"
"Rolling marijuana that's a cheap vacation",FALSE,5,NA,2017-05-07 16:34:24,FALSE,NA,"861257923141480448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jadesydonia",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/779444966959550464/4h2DaJn5_normal.jpg"
"Science Lagging When It Comes To Determining Marijuana DUI https://t.co/bMFufpLisA",FALSE,0,NA,2017-05-07 16:34:12,FALSE,NA,"861257870146289664",NA,"<a href=""http://collegenewsupdates.com"" rel=""nofollow"">College News Updates</a>","collnewsupdates",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/700435034826670080/pEqgF8nM_normal.png"
