"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"Know the kush is loud when it be gettin noise complaints",FALSE,0,NA,2017-05-06 05:09:27,FALSE,NA,"860723158814470144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Elijahkent316",0,FALSE,FALSE,NA,NA,"316 where the wild things are ","en","http://pbs.twimg.com/profile_images/837142565639970817/pL2_QXl9_normal.jpg"
"@TimesNow I am watching @republic",FALSE,1,"TimesNow",2017-05-06 05:08:51,FALSE,"860722109961584640","860723008935256065","240649814","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","imash_kush",0,FALSE,FALSE,NA,NA,"New Delhi, India","en","http://pbs.twimg.com/profile_images/699123528713416705/FP_VrunK_normal.jpg"
"Hide your ahoge by strategically wearing a snapback with the words 'kush king' embroidered into the side.",FALSE,0,NA,2017-05-06 05:08:46,FALSE,NA,"860722986868916224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MinimalWeab",0,FALSE,FALSE,NA,NA,"Washington, USA","en","http://pbs.twimg.com/profile_images/856649958358786048/ReOSaJjp_normal.jpg"
"And @republic kickstarts with the Bang...  
Jai Ho",FALSE,0,NA,2017-05-06 05:07:37,FALSE,NA,"860722698414116864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","imash_kush",0,FALSE,FALSE,NA,NA,"New Delhi, India","en","http://pbs.twimg.com/profile_images/699123528713416705/FP_VrunK_normal.jpg"
"@anuradha_kush Shoe Dog is an amazing book if you're getting the Nike bug",FALSE,1,"anuradha_kush",2017-05-06 05:07:02,FALSE,"860721816498708481","860722553114943489","123640393","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kcfaul",0,FALSE,FALSE,NA,NA,"Boulder, Seattle, LA, Oregon","en","http://pbs.twimg.com/profile_images/773742250035515392/mR6Ts42C_normal.jpg"
"A book I’d totally read - Zen and the Science of Athletic Gear. #Breaking2",FALSE,7,NA,2017-05-06 05:04:07,FALSE,NA,"860721816498708481",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","anuradha_kush",1,FALSE,FALSE,NA,NA,"Bangalore, India","en","http://pbs.twimg.com/profile_images/842039949461409793/By3v9tiy_normal.jpg"
"son anthony yo can i join horizon minecraft dank kush! xd",FALSE,0,NA,2017-05-06 05:03:04,FALSE,NA,"860721555818647552",NA,"<a href=""https://www.youtube.com/c/mvllsedits"" rel=""nofollow"">mvlls is a headass</a>","mvlls92",0,FALSE,FALSE,NA,NA,"@Mvlls","en","http://pbs.twimg.com/profile_images/846374669062062081/762RvIst_normal.jpg"
"@kush_cloud3 See you next weekend meat",FALSE,0,"kush_cloud3",2017-05-06 05:01:13,FALSE,"860720734599094272","860721086861905920","779204119","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AntSmithXIII",0,FALSE,FALSE,NA,NA,"Highland, NY","en","http://pbs.twimg.com/profile_images/840026083403694080/0s-WXD6J_normal.jpg"
"WE GOT MEDICAL OG KUSH TODAY BEST VACATION OF MY LIFE AND WE STILL GOT 2 DAYS LEFT LOL I LOVE YOU GOD",FALSE,5,NA,2017-05-06 05:00:18,FALSE,NA,"860720859266285569",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RealJasonHenley",0,FALSE,FALSE,NA,NA,"the 9","en","http://pbs.twimg.com/profile_images/855017752133857280/r0MuGJDf_normal.jpg"
"@anuradha_kush Don't need it...  The range at that consistent speed is probably 700 miles",FALSE,0,"anuradha_kush",2017-05-06 04:57:34,FALSE,"860719751672111105","860720168770686980","123640393","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LeeTheDeuce",0,FALSE,FALSE,NA,NA,"WI","en","http://pbs.twimg.com/profile_images/477135018654203904/qUMPdocg_normal.jpeg"
"@gold_sabbath nah i'd smell like kush and vanilla body spray to try and mask the fact i just smoked <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,0,"gold_sabbath",2017-05-06 04:56:48,FALSE,"860719751760195584","860719975849504768","809178477991755776","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xbambi325",0,FALSE,FALSE,NA,NA,"Berkeley, NJ","en","http://pbs.twimg.com/profile_images/833311185101537280/OQCOOB4D_normal.jpg"
"100 pounds of kush and officer, thats for the cataracts <ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,1,NA,2017-05-06 04:56:11,FALSE,NA,"860719820937064448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kaystew8",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/827590092676009984/rGflg52w_normal.jpg"
"#NP Kush - Let's Live Together",FALSE,0,NA,2017-05-06 04:56:06,FALSE,NA,"860719801181896704",NA,"<a href=""http://share.radionomy.com"" rel=""nofollow"">Share.Radionomy.com</a>","lokalfmNG",0,FALSE,FALSE,NA,NA,"Lagos, Nigeria","en","http://pbs.twimg.com/profile_images/852196127503986689/mwlR7Q31_normal.jpg"
"7 laps to go. Do they have a backup Tesla? <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #Breaking2",FALSE,7,NA,2017-05-06 04:55:54,FALSE,NA,"860719751672111105",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","anuradha_kush",2,FALSE,FALSE,NA,NA,"Bangalore, India","en","http://pbs.twimg.com/profile_images/842039949461409793/By3v9tiy_normal.jpg"
"blazing mad kush",FALSE,0,NA,2017-05-06 04:50:39,FALSE,NA,"860718428688072704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thatbitch_zimma",0,FALSE,FALSE,NA,NA,"california ","en","http://pbs.twimg.com/profile_images/854814753247580160/PnNNh7TG_normal.jpg"
"@anuradha_kush @Twitter @Nike You are right. Twitter Live Video is where it all is. Don't think many people have re… https://t.co/qljaJ4EUnb",FALSE,1,"anuradha_kush",2017-05-06 04:49:23,TRUE,"860714158735605760","860718109380005888","123640393","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maneet",0,FALSE,FALSE,NA,NA,"India","en","http://pbs.twimg.com/profile_images/858752133235064832/aTnIxoQU_normal.jpg"
"$Mary$land$ - kush casket ft.Yung Thug
now playing on https://t.co/7aZHXdw3Nt 1207-458-3575 #1OnBLAST #hsr",FALSE,0,NA,2017-05-06 04:49:10,FALSE,NA,"860718054182879232",NA,"<a href=""https://radio.co"" rel=""nofollow"">Radio.co now playing</a>","highstradio",0,FALSE,FALSE,NA,NA,"Earth","en","http://pbs.twimg.com/profile_images/826852423478235140/NHEfVNbB_normal.jpg"
"Been a wiz fan since Kush and Orange Juice",FALSE,0,NA,2017-05-06 04:48:42,FALSE,NA,"860717936713117696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","21laflare",0,FALSE,FALSE,NA,NA,"Anywhere I Want ","en","http://pbs.twimg.com/profile_images/860858460732305409/nt4bxXyS_normal.jpg"
"@haikal_kush when i'm 26, i'll be filthy rich and i'll travel ard the world <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,1,"haikal_kush",2017-05-06 04:48:00,FALSE,"860717569518456832","860717762234040322","803845123633250304","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","afarwizah",0,FALSE,FALSE,NA,NA,"Cat City ","en","http://pbs.twimg.com/profile_images/861259115481374721/WtUU750i_normal.jpg"
"Camo shorts and bubba kush",FALSE,0,NA,2017-05-06 04:46:53,FALSE,NA,"860717482428043264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LilScumbag",0,FALSE,FALSE,NA,NA,"New Bedford, MA","en","http://pbs.twimg.com/profile_images/859623072843870208/SOGQPkao_normal.jpg"
"@MoxieMeds Love my @MoxieMeds. See you there <ed><U+00A0><U+00BD><ed><U+00B8><U+0080>",FALSE,1,"MoxieMeds",2017-05-06 04:46:20,FALSE,"860698494851358720","860717341440589824","4404471133","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Bate_Kush",0,FALSE,FALSE,NA,NA,"Palm Springs, CA","en","http://pbs.twimg.com/profile_images/855317700612022272/WnNShfwY_normal.jpg"
